test,phone,ipad
testAccountNativeCommandCancelAndRecovery,passed,passed
testActionableFeedbackStaysAvailable,passed,passed
testAddDraftInNavigationStack,passed,passed
testAddDraftRetainsTextAndRecoversAfterRejectedSave,passed,passed
testAddDraftWithHeaderConfiguredBeforePresentation,passed,passed
testAddPhotoPreviewPagingAndDraftRemoval,passed,passed
testAddRetainsUnfinishedTagAcrossDetailsDisclosure,passed,passed
testAppearanceUsesMenuWithoutNavigation,passed,passed
testAssetRegionRecoveryAtAccessibilityTextSize,failed,passed
testBrowseLastTagClearsActionFooterAndApplies,passed,passed
testBrowseTagSearchKeepsActionsAboveKeyboardAccessory,passed,passed
testBrowseUsesInPlaceAvailabilityMenuAndReachableActions,passed,passed
testCheckoutHistoryTextBoundsPaginationAndDismissal,passed,passed
testColdInventoryQueriesEnableDependentResource,passed,passed
testColorPickerOpensDirectlyAndClearPreservesParentDraft,failed,passed
testColorWellDeliveredTouchRegion,passed,passed
testColorWellHasSingleAccessibleName,passed,passed
testColorWellTargetOpensSystemPicker,passed,passed
testCommandHeightComparisonAtAccessibilityTextSize,failed,passed
testConnectionNativeCommandCancelAndRecovery,passed,passed
testControlledAddressEntry,passed,failed
testControlledTextEntryWithoutAccessory,failed,failed
testControlledTextEntryWithoutAssistance,passed,passed
testDetailCommandsRemainReachableAtAccessibilityTextSize,failed,passed
testDirectFooterFullSheetLayout,passed,passed
testDirectFullSheetLayout,passed,passed
testDraftOptionRemovalPreservesSavedOptions,passed,passed
testDraftPhotoControlsAccessibility,passed,passed
testDraftPhotosRemoveTheChosenAttachmentAndRetainReadOnlyPreviews,passed,passed
testEditMetadataRecoveryAtAccessibilityTextSize,failed,failed
testEditTagDisclosureAtAccessibilityTextSize,failed,failed
testExactExpirationUsesCompactNativePicker,passed,passed
testExpirationDatePageKeepsBottomActionsReachable,passed,passed
testExpirationOverviewAccessibility,failed,passed
testExpirationSearchKeepsActionsReachableWithKeyboard,passed,passed
testExpirationSheetBodySurvivesExpansion,passed,passed
testFooterAppearanceAndDisabledActions,passed,passed
testFooterAppearanceAtAccessibilityTextSize,failed,passed
testFooterFullSheetLayout,failed,passed
testHomeAddHitRegionBeyondAccessibilityFrame,passed,passed
testHomeHeaderKeepsAllActionsAboveScrollingContent,passed,passed
testHomeNotificationHitRegionBeyondAccessibilityFrame,passed,passed
testHomeProfileHitRegionBeyondAccessibilityFrame,passed,passed
testHomeReturnCancelRestoresCheckout,passed,passed
testHomeReturnDetailsRecoverInsideSheet,passed,passed
testHomeTabShellPreservesActionsAndAccessoryAfterTabReturn,passed,passed
testInventorySwitcherHouseholdRetryAndClose,passed,passed
testInvitationAcceptanceRetainsAccessAfterOpeningFailure,passed,passed
testManagedSearchPlacementAfterEnableAndHeaderUpdate,passed,passed
testMoveHereRecoveryAtAccessibilityTextSize,failed,failed
testMoveHereRejectedCommandRetainsSelectionAndRetryReturns,passed,passed
testNativeChoiceLabelAtAccessibilityTextSize,failed,passed
testNativeColorLockDisablesTheWellAndPreservesDraft,passed,passed
testNativeColorRedEditsPreserveOtherChannelsInDraft,passed,passed
testNativeDefaultAssistedTextEntryDiagnostic,passed,passed
testNestedFullSheetLayout,failed,passed
testNoticeKeepsPushedNavigationReachable,passed,passed
testNoticeKeepsSheetNavigationReachable,passed,passed
testNotificationInboxReadStateAndNavigationReturn,passed,passed
testNotificationReadControlDeliveredTouchRegion,passed,passed
testOnboardingKeyboardGoSubmitsCompleteAddress,passed,passed
testOnboardingSubmitsTheCompleteNativeAddress,passed,passed
testOrdinaryControlledTextEntry,failed,failed
testOrdinaryMultilineTextEntry,passed,passed
testOrdinarySingleLineTextEntry,passed,failed
testOrdinaryTextEntryWithoutAccessory,failed,passed
testOrdinaryTextEntryWithoutAssistance,passed,passed
testPacedControlledTextEntryDiagnostic,passed,passed
testPacedUncontrolledTextEntryDiagnostic,passed,passed
testPhotoRemovalFailureAppearsAboveViewer,passed,passed
testPlaceContentsUseNativeSearchAndKeepNavigation,passed,passed
testPreconfiguredPlaceSearchKeepsProductionHandlersAndNavigation,failed,passed
testProviderCredentialNativeSaveRecovery,passed,passed
testProviderPromptNativeDiscard,passed,passed
testProviderPromptNativeSaveRecovery,passed,passed
testReminderModeUsesMenuWithoutNavigation,passed,passed
testScrollFooterFullSheetLayout,passed,passed
testSeededAddressWithoutKeyboardAccessory,passed,passed
testSettingsCollectionUsesNativeSearchAndAdd,passed,passed
testSettingsEditorNativeArchiveConfirmsBeforeReturning,passed,passed
testSettingsEditorNativeBackProtectsDirtyDraft,passed,passed
testSettingsEditorNativeSaveReturnsToCollection,passed,passed
testSharingRecoveryKeepsHeaderAndCommandsReachable,passed,passed
testStaticNativeSearchPlacementComparison,passed,passed
testSystemAddressEntry,passed,passed
testUnavailablePhotoExplainsFailureAndKeepsEscapeReachable,passed,passed
testUncontrolledAddressEntry,passed,passed
testVoiceNativeHeaderKeepsProposalOnCloseAndCancelledReset,passed,passed
testVoiceProposalLocationSearchRetryAndReturn,passed,passed
